time,animal,pellets,motorTurns,battery,delay,numJamClears
1648587575,326,39,641,04,120,experimental
1648589297,326,40,698,04,300,experimental
1648590338,326,41,422,04,180,experimental
1648591328,326,42,483,04,15,experimental
1648591409,326,43,31,04,15,experimental
1648593547,326,44,1057,04,15,experimental
1648593909,326,45,18,04,300,experimental
1648597432,326,46,797,04,1800,experimental
1648605275,326,47,3877,04,60,experimental
1648605713,326,48,90,04,240,experimental
1648612663,326,49,2505,03,1800,experimental
1648615172,326,50,1122,03,240,experimental
1648619967,326,51,2293,03,180,experimental
1648620239,326,52,126,03,15,experimental
1648623083,326,53,1289,03,240,experimental
1648623283,326,54,67,03,60,experimental
1648624672,326,55,561,03,240,experimental
1648627825,326,56,1507,03,120,experimental
1648631519,326,57,1832,03,15,experimental
1648632349,326,58,253,03,300,experimental
1648633511,326,59,514,03,120,experimental
1648633990,326,60,206,03,60,experimental
1648634989,326,61,431,03,120,experimental
1648638042,326,62,1361,03,300,experimental
1648638381,326,63,136,03,60,experimental
1648638714,326,64,05,03,300,experimental
1648640038,326,65,627,03,60,experimental
1648641761,326,66,698,03,300,experimental
1648641878,326,67,25,03,60,experimental
1648642139,326,68,121,03,15,experimental
1648643252,326,69,490,03,120,experimental
1648644341,326,70,446,03,180,experimental
1648644806,326,71,198,03,60,experimental
1648645483,326,72,305,03,60,experimental
1648645987,326,73,242,03,15,experimental
1648646972,326,74,330,03,300,experimental
1648647625,326,75,165,03,300,experimental
1648648000,326,76,122,03,120,experimental
1648648223,326,77,102,03,15,experimental
1648648431,326,78,07,03,180,experimental
1648649567,326,79,557,03,15,experimental
1648650100,326,80,232,03,60,experimental
1648650339,326,81,55,03,120,experimental
1648651286,326,82,311,03,300,experimental
1648651871,326,83,163,03,240,experimental
1648652865,326,84,366,03,240,experimental
1648654639,326,85,876,03,15,experimental
1648658094,326,86,762,03,1800,experimental
1648659213,326,87,429,03,240,experimental
1648659518,326,88,119,03,60,experimental
1648660060,326,89,237,03,60,experimental
1648660682,326,90,149,03,300,experimental
1648660928,326,91,114,03,15,experimental
1648661315,326,92,128,03,120,experimental
1648666015,326,93,1383,03,1800,experimental
1648666097,326,94,08,03,60,experimental
1648666136,326,95,10,03,15,experimental
1648666298,326,96,14,03,120,experimental
1648670406,326,97,1951,03,180,experimental
1648670944,326,98,259,03,15,experimental
1648671188,326,99,25,03,180,experimental
1648675962,326,100,1420,03,1800,experimental
1648676022,326,101,21,03,15,experimental
1648676236,326,102,10,03,180,experimental
1648676431,326,103,32,03,120,experimental
