time,ID,count,protocol
1670351909,00,725,locomotor
1670351917,00,726,locomotor
1670351925,00,727,locomotor
1670351931,00,728,locomotor
1670351959,00,729,locomotor
1670351995,00,730,locomotor
1670352007,00,731,locomotor
1670352013,00,732,locomotor
1670352094,00,733,locomotor
1670352107,00,734,locomotor
1670352116,00,735,locomotor
1670352123,00,736,locomotor
1670352161,00,737,locomotor
1670352167,00,738,locomotor
1670352180,00,739,locomotor
1670352189,00,740,locomotor
1670352219,00,741,locomotor
1670352226,00,742,locomotor
1670352296,00,743,locomotor
1670352302,00,744,locomotor
1670352310,00,745,locomotor
1670352322,00,746,locomotor
1670352358,00,747,locomotor
1670352366,00,748,locomotor
1670352372,00,749,locomotor
1670352379,00,750,locomotor
1670352388,00,751,locomotor
1670352401,00,752,locomotor
1670352645,00,753,locomotor
1670352654,00,754,locomotor
1670352660,00,755,locomotor
1670352679,00,756,locomotor
1670352685,00,757,locomotor
1670352692,00,758,locomotor
1670352702,00,759,locomotor
1670352709,00,760,locomotor
1670352735,00,761,locomotor
1670352746,00,762,locomotor
1670352790,00,763,locomotor
1670352798,00,764,locomotor
1670352837,00,765,locomotor
1670352843,00,766,locomotor
1670352853,00,767,locomotor
1670352862,00,768,locomotor
1670352872,00,769,locomotor
1670352879,00,770,locomotor
1670352895,00,771,locomotor
1670352911,00,772,locomotor
1670352917,00,773,locomotor
1670352925,00,774,locomotor
1670352937,00,775,locomotor
1670352943,00,776,locomotor
1670352951,00,777,locomotor
1670353060,00,778,locomotor
1670353067,00,779,locomotor
1670353073,00,780,locomotor
1670353080,00,781,locomotor
1670353089,00,782,locomotor
1670353102,00,783,locomotor
1670353120,00,784,locomotor
1670353157,00,785,locomotor
1670353169,00,786,locomotor
1670353176,00,787,locomotor
1670353184,00,788,locomotor
1670353201,00,789,locomotor
1670353212,00,790,locomotor
1670353218,00,791,locomotor
1670353227,00,792,locomotor
1670353237,00,793,locomotor
1670353311,00,794,locomotor
1670353342,00,795,locomotor
1670353350,00,796,locomotor
1670353358,00,797,locomotor
1670353372,00,798,locomotor
1670353379,00,799,locomotor
1670353385,00,800,locomotor
1670353400,00,801,locomotor
1670353470,00,802,locomotor
1670353483,00,803,locomotor
1670353490,00,804,locomotor
1670353499,00,805,locomotor
1670353535,00,806,locomotor
1670353582,00,807,locomotor
1670353595,00,808,locomotor
1670353601,00,809,locomotor
1670353608,00,810,locomotor
1670353639,00,811,locomotor
1670353645,00,812,locomotor
1670353655,00,813,locomotor
1670353662,00,814,locomotor
1670353668,00,815,locomotor
1670353675,00,816,locomotor
1670353684,00,817,locomotor
1670353694,00,818,locomotor
1670353705,00,819,locomotor
1670353721,00,820,locomotor
1670353727,00,821,locomotor
1670353742,00,822,locomotor
1670353750,00,823,locomotor
1670353758,00,824,locomotor
1670353764,00,825,locomotor
1670353770,00,826,locomotor
1670353779,00,827,locomotor
1670353788,00,828,locomotor
1670353829,00,829,locomotor
1670353845,00,830,locomotor
1670353860,00,831,locomotor
