1670081909,00,545,locomotor
1670081967,00,546,locomotor
1670082024,00,547,locomotor
1670082031,00,548,locomotor
1670082058,00,549,locomotor
1670082064,00,550,locomotor
1670082071,00,551,locomotor
1670082090,00,552,locomotor
1670082097,00,553,locomotor
1670082103,00,554,locomotor
1670082109,00,555,locomotor
1670082115,00,556,locomotor
1670082136,00,557,locomotor
1670082142,00,558,locomotor
1670082152,00,559,locomotor
1670082279,00,560,locomotor
1670082286,00,561,locomotor
1670082302,00,562,locomotor
1670082308,00,563,locomotor
1670082318,00,564,locomotor
1670082339,00,565,locomotor
1670082346,00,566,locomotor
1670082384,00,567,locomotor
1670082399,00,568,locomotor
1670082406,00,569,locomotor
1670082436,00,570,locomotor
1670082472,00,571,locomotor
1670082480,00,572,locomotor
1670082492,00,573,locomotor
1670082504,00,574,locomotor
1670082510,00,575,locomotor
1670082522,00,576,locomotor
1670082528,00,577,locomotor
1670082540,00,578,locomotor
1670082547,00,579,locomotor
1670082581,00,580,locomotor
1670082605,00,581,locomotor
1670082611,00,582,locomotor
1670082626,00,583,locomotor
1670082641,00,584,locomotor
1670082653,00,585,locomotor
1670082720,00,586,locomotor
1670082733,00,587,locomotor
1670082744,00,588,locomotor
1670082756,00,589,locomotor
1670082785,00,590,locomotor
1670082793,00,591,locomotor
1670082805,00,592,locomotor
1670082816,00,593,locomotor
1670082831,00,594,locomotor
1670082853,00,595,locomotor
1670082859,00,596,locomotor
1670082871,00,597,locomotor
1670082886,00,598,locomotor
1670082892,00,599,locomotor
1670082900,00,600,locomotor
1670082909,00,601,locomotor
1670082919,00,602,locomotor
1670082927,00,603,locomotor
1670082934,00,604,locomotor
1670082956,00,605,locomotor
1670082972,00,606,locomotor
1670082978,00,607,locomotor
1670082986,00,608,locomotor
1670082995,00,609,locomotor
1670083002,00,610,locomotor
1670083015,00,611,locomotor
1670083033,00,612,locomotor
1670083173,00,613,locomotor
1670083180,00,614,locomotor
1670083190,00,615,locomotor
1670083209,00,616,locomotor
1670083224,00,617,locomotor
1670083252,00,618,locomotor
1670083260,00,619,locomotor
1670083292,00,620,locomotor
1670083304,00,621,locomotor
1670083313,00,622,locomotor
1670083319,00,623,locomotor
1670083325,00,624,locomotor
1670083351,00,625,locomotor
1670083357,00,626,locomotor
1670083365,00,627,locomotor
1670083405,00,628,locomotor
1670083412,00,629,locomotor
1670083418,00,630,locomotor
1670083437,00,631,locomotor
1670083459,00,632,locomotor
1670083474,00,633,locomotor
1670083502,00,634,locomotor
1670083514,00,635,locomotor
1670083523,00,636,locomotor
1670083531,00,637,locomotor
1670083537,00,638,locomotor
1670083555,00,639,locomotor
1670083575,00,640,locomotor
1670083581,00,641,locomotor
1670083613,00,642,locomotor
1670083620,00,643,locomotor
1670083627,00,644,locomotor
1670083641,00,645,locomotor
1670083653,00,646,locomotor
1670083664,00,647,locomotor
1670083670,00,648,locomotor
1670083676,00,649,locomotor
1670083683,00,650,locomotor
1670083698,00,651,locomotor
1670083721,00,652,locomotor
1670083728,00,653,locomotor
1670083736,00,654,locomotor
1670083743,00,655,locomotor
1670083791,00,656,locomotor
1670083803,00,657,locomotor
1670083815,00,658,locomotor
1670083822,00,659,locomotor
1670083841,00,660,locomotor
1670083856,00,661,locomotor
1670083869,00,662,locomotor
1670083880,00,663,locomotor
1670083888,00,664,locomotor
1670083894,00,665,locomotor
1670083911,00,666,locomotor
1670083917,00,667,locomotor
1670083927,00,668,locomotor
1670083934,00,669,locomotor
1670083951,00,670,locomotor
1670083961,00,671,locomotor
1670083967,00,672,locomotor
1670083979,00,673,locomotor
1670084051,00,674,locomotor
1670084058,00,675,locomotor
1670084414,00,676,locomotor
1670084421,00,677,locomotor
1670084463,00,678,locomotor
1670084517,00,679,locomotor
1670084523,00,680,locomotor
1670084530,00,681,locomotor
1670084538,00,682,locomotor
1670084561,00,683,locomotor
1670084568,00,684,locomotor
1670084587,00,685,locomotor
1670084599,00,686,locomotor
1670084605,00,687,locomotor
1670084621,00,688,locomotor
1670084632,00,689,locomotor
1670084638,00,690,locomotor
1670084686,00,691,locomotor
1670084703,00,692,locomotor
